,wagnum,model,rod_id,gruz,cnsi_gruz_capacity,cnsi_volumek,tara,date_build,srok_sl,zavod_build,date_iskl,cnsi_probeg_dr,cnsi_probeg_kr,kuzov,telega,tormoz,tipvozd,tippogl,norma_km
7533,21835,12-132,1,695,695,88.0,240,1329436800,2048889600,0,1,110,160,2,9,2,7,11,160000
7534,14387,12-132,1,700,700,88.0,240,1042761600,1773532800,0,1,110,160,2,9,2,1,11,160000
7535,14091,12-132,1,700,700,88.0,240,1091404800,1828828800,0,1,110,160,2,9,2,1,11,160000
7536,10901,12-132,1,700,700,88.0,240,1086998400,1786924800,0,1,110,160,2,9,3,1,12,160000
7537,8869,11-286,0,670,670,138.0,270,863827200,1889568000,1,1,110,160,2,9,2,1,11,160000
7538,30644,12-7023-02,1,703,703,90.0,236,1376092800,2038348800,2,1,160,160,2,9,3,7,12,160000
7539,30385,12-132,1,695,695,88.0,240,1289865600,2000332800,0,1,110,160,2,9,2,7,11,160000
7540,27707,12-132,1,695,695,88.0,242,1157500800,1749945600,0,1,110,160,2,9,3,4,4,160000
7541,15648,12-132,1,700,700,88.0,240,1087603200,1758067200,0,1,110,160,2,9,2,1,11,160000
7542,20150,11-1807-01,0,667,667,165.0,271,1260576000,2220825600,9,1,110,160,2,9,2,4,11,160000
7543,26336,12-132,1,700,700,88.0,240,1107302400,1817251200,0,1,110,160,2,9,3,1,12,160000
7544,13960,12-132,1,700,700,88.0,240,1110758400,1819584000,0,1,110,160,2,9,2,4,11,160000
7545,19354,11-286,0,670,670,138.0,270,748396800,1812499200,1,1,110,160,2,9,2,1,11,160000
7546,17299,12-132,1,695,695,88.0,243,1282867200,2008540800,0,1,110,160,2,9,3,7,11,160000
7547,10298,12-132-03,1,695,695,88.0,237,1232668800,1959033600,0,1,110,160,22,2,3,7,11,160000
7548,5664,11-276,0,680,680,122.0,260,755136000,1787356800,1,1,110,160,2,9,3,1,2,160000
7549,27829,12-1302,1,700,700,77.0,235,1170460800,1888704000,6,1,110,160,2,9,2,4,11,160000
7550,21228,12-1303-01,1,690,690,88.0,245,1278892800,2021587200,6,1,110,160,2,2,2,8,11,160000
7551,25205,12-132,1,695,695,88.0,241,1268784000,2007244800,0,1,110,160,2,9,2,7,11,160000
7552,21582,12-132,1,695,695,88.0,242,1330732800,2025475200,0,1,110,160,2,9,2,7,11,160000
7553,21585,12-132,1,695,695,88.0,243,1280275200,2068156800,0,1,110,160,2,9,2,7,11,160000
7554,21592,12-132,1,695,695,88.0,243,1336348800,1979683200,0,1,110,160,2,9,2,7,11,160000
7555,31885,12-196-02,1,750,750,94.0,249,1517011200,2531520000,0,1,350,500,43,11,2,7,11,350000
7556,26721,12-132,1,695,695,88.0,243,1270425600,2005171200,0,1,110,160,2,9,3,7,11,160000
7557,22747,12-132,1,695,695,88.0,241,1282521600,1981843200,0,1,110,160,2,9,2,7,11,160000
7558,9512,11-286,0,670,670,138.0,270,822528000,1829692800,1,1,110,160,2,9,3,1,1,160000
7559,25283,12-132-03,1,695,695,88.0,243,1295049600,1998950400,0,1,110,160,22,2,2,7,19,160000
7560,28672,12-9788-01,1,710,710,85.0,225,1226707200,1998172800,6,1,110,160,2,2,2,7,11,160000
7561,21089,12-9788-01,1,710,710,85.0,225,1284508800,1990656000,6,1,110,160,2,2,2,7,11,160000
7562,11399,12-132-03,1,695,695,88.0,238,1278374400,1987200000,0,1,110,160,22,2,2,7,11,160000
7563,5495,11-276,0,680,680,122.0,260,827020800,1786233600,1,1,110,160,2,9,3,1,1,110000
7564,6891,11-1807,0,672,672,138.0,260,1174089600,2177020800,17,1,110,160,2,9,2,1,11,160000
7565,33203,12-196-02,1,750,750,94.0,249,1501113600,2536185600,0,1,350,500,43,11,2,7,11,350000
7566,24461,12-132,1,695,695,88.0,242,1314921600,2023056000,0,1,110,160,2,9,2,7,11,160000
7567,19811,11-286,0,670,670,138.0,270,796089600,1783296000,1,1,110,160,2,9,3,1,1,160000
7568,18710,11-280,0,680,680,138.0,260,1106697600,2077747200,1,1,110,160,2,9,2,4,11,160000
7569,18720,11-280,0,680,680,138.0,260,1021334400,2091916800,1,1,110,160,2,9,2,4,5,160000
7570,22788,12-132,1,695,695,88.0,241,1270166400,2029104000,0,1,110,160,2,9,2,7,11,160000
7571,10287,12-132-03,1,695,695,88.0,242,1234569600,2060812800,0,1,110,160,22,2,3,7,11,160000
7572,23284,12-132,1,695,695,88.0,240,1264723200,1983744000,0,1,110,160,2,9,2,7,11,160000
7573,13531,12-132-03,1,695,695,88.0,241,1274486400,2013379200,0,1,110,160,22,2,2,7,11,160000
7574,23084,12-132,1,695,695,88.0,240,1272326400,1958515200,13,1,110,160,22,9,3,7,12,160000
7575,24954,12-1303-01,1,690,690,88.0,245,1304294400,2020118400,6,1,110,160,2,2,2,6,11,160000
7576,5833,11-276,0,680,680,122.0,260,824947200,1746057600,1,1,110,160,2,9,3,1,11,160000
7577,1728,11-2135-01,0,670,670,161.0,268,1520380800,2607638400,1,1,110,160,2,9,2,19,11,160000
7578,1730,11-2135-01,0,670,670,161.0,269,1578182400,2559859200,1,1,110,160,2,9,2,19,11,160000
7579,1731,11-2135-01,0,670,670,161.0,269,1609372800,2566857600,1,1,110,160,2,9,2,19,11,160000
7580,1736,11-2135-01,0,670,670,161.0,269,1560470400,2608070400,1,1,110,160,2,9,2,19,11,160000
7581,1737,11-2135-01,0,670,670,161.0,269,1629158400,2539468800,1,1,110,160,2,9,2,19,11,160000
7582,15143,12-132,1,700,700,88.0,240,1070928000,1786579200,0,1,110,160,2,9,3,1,11,160000
7583,22228,12-132,1,695,695,88.0,243,1274227200,2068329600,0,1,110,160,2,9,2,7,11,160000
7584,14912,12-132,1,700,700,88.0,236,1110412800,1793923200,0,1,110,160,2,9,3,1,11,160000
7585,27608,12-132,1,695,695,88.0,240,1374969600,2047680000,0,1,110,160,2,9,2,7,11,160000
7586,16018,11-280,0,680,680,138.0,258,1198540800,2301782400,1,1,110,160,2,9,2,6,2,160000
7587,28555,12-132,1,695,695,88.0,244,1003968000,1770249600,0,0,110,160,2,9,2,4,11,110000
7588,20483,12-132-03,1,695,695,88.0,240,1237334400,1956096000,0,1,110,160,22,2,2,7,11,160000
7589,16752,11-1807-01,0,667,667,165.0,271,1251763200,2262816000,9,1,110,160,2,9,3,4,8,160000
7590,29306,12-132,1,695,695,88.0,241,1301702400,2036448000,0,1,110,160,2,9,2,7,11,160000
7591,20097,12-783,1,700,700,76.0,232,1162425600,1916956800,2,1,160,160,2,9,2,1,11,160000
7592,14227,12-132,1,700,700,88.0,239,1110412800,1835913600,0,1,110,160,2,9,3,1,11,160000
7593,14,11-270,0,688,688,122.0,250,788832000,1876435200,1,1,110,160,2,9,3,1,11,160000
7594,25222,12-296-01,1,700,700,83.0,237,1308268800,2048976000,1,1,110,160,2,9,3,6,11,160000
7595,21083,12-9788-01,1,710,710,85.0,225,1298764800,1921536000,6,1,110,160,2,2,3,7,11,160000
7596,6161,11-276,0,680,680,122.0,260,784771200,1719619200,1,1,110,160,2,9,3,1,7,0
7597,16962,11-1807-01,0,667,667,165.0,271,1189728000,2320617600,17,1,110,160,2,9,2,7,13,160000
7598,19451,11-286,0,670,670,138.0,270,778032000,1755561600,1,1,110,160,2,9,3,1,11,160000
7599,13710,12-132,1,700,700,88.0,240,1121558400,1733702400,0,1,110,160,2,9,3,4,12,160000
7600,20020,12-296-01,1,700,700,83.0,234,1145836800,1896480000,1,1,110,160,2,9,2,6,11,160000
7601,8169,11-286,0,670,670,138.0,270,824947200,1770076800,1,1,110,160,2,9,2,1,1,160000
7602,33103,12-196-02,1,750,750,94.0,248,1534982400,2497737600,0,1,350,500,43,11,2,7,11,350000
7603,18477,11-1807-01,0,667,667,165.0,270,1323648000,2297203200,17,1,110,160,2,9,2,7,16,160000
7604,18482,11-1807-01,0,667,667,165.0,270,1305158400,2356992000,17,1,110,160,2,9,2,7,16,160000
7605,10787,12-132,1,700,700,88.0,240,1092182400,1814400000,0,1,110,160,2,9,2,1,12,160000
7606,20146,11-1807-01,0,667,667,165.0,271,1224806400,2216419200,9,1,110,160,2,9,2,4,12,160000
7607,27760,12-9766,1,695,695,88.0,244,1264291200,1867017600,5,1,110,160,22,9,2,1,11,160000
7608,29118,12-955,1,710,710,88.0,220,1122076800,2155766400,3,1,110,160,2,9,2,4,12,160000
7609,27210,12-132,1,695,695,88.0,240,1264550400,1966896000,0,1,110,160,2,9,2,7,11,160000
7610,24798,12-132,1,695,695,88.0,242,1330992000,2015452800,0,1,110,160,2,9,2,7,11,160000
7611,12419,12-132-03,1,695,695,88.0,243,1281052800,2000764800,0,1,110,160,22,2,2,7,11,160000
7612,22107,12-132,1,695,695,88.0,243,1372291200,2070403200,0,1,110,160,2,9,2,7,11,160000
7613,14080,12-132,1,700,700,88.0,239,1090713600,1779926400,0,1,110,160,2,9,2,1,11,160000
7614,20128,11-1807-01,0,667,667,165.0,271,1262908800,2243116800,9,1,110,160,2,9,2,4,11,160000
7615,16248,11-1807-01,0,667,667,165.0,271,1203120000,2261952000,17,1,110,160,2,9,2,7,13,160000
7616,12770,12-132-03,1,695,695,88.0,236,1201392000,2037830400,0,1,110,160,22,2,2,7,11,160000
7617,8713,11-286,0,670,670,138.0,270,738892800,1843862400,1,1,110,160,2,9,2,1,1,160000
7618,25299,12-132-03,1,695,695,88.0,240,1189468800,2029017600,0,1,110,160,22,2,2,7,11,160000
7619,16868,12-7023-02,1,703,703,90.0,237,1320969600,1991606400,2,1,160,160,2,9,2,7,12,160000
7620,30206,12-132,1,695,695,88.0,240,1326326400,2016835200,0,1,110,160,2,9,2,7,11,160000
7621,28745,12-9788-01,1,710,710,85.0,225,1234656000,1960675200,6,1,110,160,2,2,2,7,12,160000
7622,10859,12-132,1,700,700,88.0,240,1129161600,1755820800,0,1,110,160,2,9,2,1,12,160000
7623,20169,11-1807-01,0,667,667,165.0,271,1256515200,2253657600,17,1,110,160,2,9,2,7,13,160000
7624,16438,11-1807-01,0,667,667,165.0,271,1285545600,2242166400,9,1,110,160,2,9,2,4,13,160000
7625,16228,11-1807-01,0,667,667,165.0,271,1196899200,2196201600,9,1,110,160,2,9,3,4,5,160000
7626,11844,12-132,1,700,700,88.0,240,1137283200,1823817600,0,1,110,160,2,9,3,1,11,160000
7627,25041,12-132,1,695,695,88.0,242,1287014400,1980374400,0,1,110,160,2,9,2,7,11,160000
7628,31007,12-132,1,695,695,88.0,239,1316995200,2082844800,0,1,110,160,2,9,2,7,11,160000
7629,11549,12-9790,1,700,700,78.0,240,1261180800,1918252800,18,1,110,160,2,9,2,4,11,160000
7630,14289,12-132,1,700,700,88.0,240,1136592000,1774656000,0,1,110,160,2,9,2,4,11,160000
7631,16888,12-7023-02,1,703,703,90.0,236,1302912000,1962576000,2,1,160,160,2,9,2,7,11,160000
7632,29707,12-132,1,695,695,88.0,243,1347408000,2014848000,0,1,110,160,2,9,3,7,11,160000
7633,30685,12-7023-02,1,703,703,90.0,236,1287705600,2004393600,2,1,160,160,2,9,2,7,12,160000
7634,12908,12-132-03,1,695,695,88.0,236,1236297600,1957132800,0,1,110,160,22,2,2,7,11,160000
7635,20681,12-4102,1,710,710,82.0,224,1238112000,1958774400,8,1,110,160,2,9,2,7,11,160000
7636,30546,12-7023-02,1,703,703,90.0,235,1293926400,1984953600,2,1,160,160,2,9,2,7,12,160000
7637,1732,11-2135-01,0,670,670,161.0,268,1569715200,2576534400,1,1,110,160,2,9,2,19,11,160000
7638,21579,12-132,1,695,695,88.0,242,1294876800,2014502400,0,1,110,160,2,9,2,7,11,160000
7639,21580,12-132,1,695,695,88.0,241,1338336000,2027116800,0,1,110,160,2,9,2,7,11,160000
7640,15274,12-132,1,700,700,88.0,240,1095897600,1781049600,0,1,110,160,2,9,2,1,4,160000
7641,10047,12-132,1,700,700,88.0,240,1062892800,1792540800,0,1,110,160,2,9,3,1,11,160000
7642,15756,12-132,1,700,700,88.0,240,1102377600,1779235200,0,1,110,160,2,9,2,1,5,160000
7643,9129,11-286,0,670,670,138.0,270,822182400,1908835200,1,1,110,160,2,9,2,1,1,160000
7644,7418,11-286,0,670,670,138.0,270,803865600,1793145600,1,1,110,160,2,9,2,1,11,160000
7645,1836,11-2135-01,0,670,670,161.0,268,1618617600,2576880000,1,1,110,160,2,9,2,19,12,160000
7646,19014,11-280-01,0,670,670,138.0,258,1074038400,2116022400,1,1,110,160,2,9,2,4,11,160000
7647,19010,11-280-01,0,670,670,138.0,258,1100822400,2053382400,1,1,110,160,2,9,2,4,11,160000
7648,19009,11-280-01,0,670,670,138.0,257,1089849600,2149804800,1,1,110,160,2,9,2,4,2,160000
7649,19020,11-280-01,0,670,670,138.0,258,1071446400,2151100800,1,1,110,160,2,9,2,4,11,160000
7650,19027,11-280-01,0,670,670,138.0,258,1058486400,2062886400,1,1,110,160,2,9,2,4,11,160000
7651,31313,12-132,1,695,695,88.0,238,1305590400,2068588800,0,1,110,160,2,9,2,7,11,160000
7652,26474,12-296-01,1,700,700,83.0,236,1266019200,1927152000,1,1,110,160,2,9,2,6,12,160000
7653,30817,12-196-02,1,750,750,94.0,249,1486166400,2521929600,0,1,350,500,43,11,2,7,11,350000
7654,30790,12-196-02,1,750,750,94.0,249,1455235200,2545776000,0,1,350,500,43,11,2,7,11,350000
7655,16727,11-1807-01,0,667,667,165.0,271,1232409600,2205273600,17,1,110,160,2,9,2,7,11,160000
7656,11604,12-9790,1,700,700,78.0,240,1200009600,1920672000,18,1,110,160,2,9,3,4,5,160000
7657,20217,12-783,1,700,700,78.0,232,1163030400,1944086400,2,1,160,160,2,9,2,1,11,160000
7658,21779,12-132,1,695,695,88.0,240,1187049600,1924214400,13,1,110,160,22,9,2,6,11,160000
7659,23497,12-132,1,695,695,88.0,242,1276732800,2011046400,0,1,110,160,2,9,2,7,11,160000
7660,25271,12-132-03,1,695,695,88.0,243,1193097600,2011478400,0,1,110,160,22,2,2,7,11,160000
7661,7156,11-280,0,680,680,138.0,260,745804800,1770681600,1,1,110,160,2,9,3,1,1,160000
7662,9204,11-286,0,670,670,138.0,270,857606400,1785196800,1,1,110,160,2,9,3,1,2,160000
7663,9020,11-286,0,670,670,138.0,270,838080000,1879113600,1,1,110,160,2,9,2,1,1,160000
7664,23467,12-132,1,695,695,88.0,243,1332028800,1963094400,0,1,110,160,2,9,2,7,11,160000
7665,14060,12-132,1,700,700,88.0,240,1061856000,1729900800,0,1,110,160,2,9,2,4,11,160000
7666,16455,11-1807-01,0,667,667,165.0,271,1239148800,2272838400,9,1,110,160,2,9,2,4,8,160000
7667,15406,12-132,1,700,700,88.0,240,1104796800,1780963200,0,1,110,160,2,9,2,1,11,160000
7668,25717,12-132-03,1,695,695,88.0,243,1256515200,2081030400,0,1,110,160,22,2,2,7,11,160000
7669,14819,12-132,1,700,700,88.0,240,1106265600,1770681600,0,1,110,160,2,9,2,1,11,160000
7670,32438,12-132,1,695,695,88.0,240,1390176000,2038176000,0,1,110,160,2,9,3,4,11,160000
7671,32912,12-132,1,695,695,88.0,238,1326931200,2083104000,0,1,110,160,2,9,3,7,11,160000
7672,32920,12-132,1,695,695,88.0,238,1350000000,2093385600,0,1,110,160,2,9,2,7,12,160000
7673,28146,12-132-03,1,695,695,88.0,242,1265846400,1992556800,0,1,110,160,22,2,2,7,11,160000
7674,29922,12-132,1,695,695,88.0,240,1335484800,2055628800,0,1,110,160,2,9,2,7,11,160000
7675,32339,12-132,1,695,695,88.0,240,1367712000,2076451200,0,1,110,160,2,9,2,7,11,160000
7676,8722,11-286,0,670,670,138.0,270,719020800,1775260800,1,1,110,160,2,9,2,6,11,160000
7677,28494,12-132,1,695,695,88.0,245,1033171200,1724889600,0,0,110,160,2,9,3,4,4,110000
7678,28796,12-9788-01,1,710,710,85.0,225,1297641600,2020550400,6,1,110,160,2,2,2,7,11,160000
7679,23495,12-132,1,695,695,88.0,243,1345075200,2001542400,0,1,110,160,2,9,2,7,11,160000
7680,29775,12-132,1,695,695,88.0,240,1265328000,2024438400,13,1,110,160,22,9,2,7,12,160000
7681,13104,12-132-03,1,695,695,88.0,243,1259884800,2021846400,0,1,110,160,22,2,2,7,11,160000
7682,24138,12-132,1,695,695,88.0,240,1289520000,1945641600,0,1,110,160,2,9,2,7,11,160000
7683,16778,11-1807-01,0,667,667,165.0,271,1244332800,2253052800,17,1,110,160,2,9,2,7,13,160000
7684,17846,11-1807-01,0,667,667,165.0,271,1281657600,2291587200,17,1,110,160,2,9,2,7,13,160000
7685,19433,11-286,0,670,670,138.0,270,852940800,1844899200,1,1,110,160,2,9,3,1,1,160000
7686,32464,12-132,1,695,695,88.0,240,1349308800,2093558400,0,1,110,160,2,9,2,7,11,160000
7687,24609,11-1807-01,0,667,667,165.0,270,1331942400,2320876800,17,1,110,160,2,9,2,7,16,160000
7688,11568,12-9790,1,700,700,78.0,240,1269734400,1973030400,18,1,110,160,2,9,2,4,11,160000
7689,20672,12-4102,1,710,710,82.0,224,1272153600,1898812800,8,1,110,160,2,9,2,7,11,160000
7690,32348,12-132,1,695,695,88.0,240,1371859200,2082240000,0,1,110,160,2,9,2,7,11,160000
7691,32349,12-132,1,695,695,88.0,240,1338595200,2077401600,0,1,110,160,2,9,2,7,11,160000
7692,28293,12-132,1,700,700,88.0,240,1030752000,1764460800,0,1,110,160,2,9,2,4,11,160000
7693,23961,12-132,1,695,695,88.0,243,1338595200,2044396800,0,1,110,160,2,9,2,7,11,160000
7694,8378,11-286,0,670,670,138.0,270,837820800,1847232000,1,1,110,160,2,9,2,6,11,160000
7695,22911,12-132,1,695,695,88.0,242,1290297600,1995408000,0,1,110,160,2,9,2,7,11,160000
7696,22988,12-132,1,695,695,88.0,243,1294531200,2015798400,0,1,110,160,2,9,2,7,11,160000
7697,22990,12-132,1,695,695,88.0,243,1353888000,1979942400,0,1,110,160,2,9,2,7,2,160000
7698,8221,11-286,0,670,670,138.0,270,820800000,1889481600,1,1,110,160,2,9,2,1,11,160000
7699,7336,11-286,0,670,670,138.0,270,828662400,1852761600,1,1,110,160,2,9,2,1,1,160000
7700,26936,12-132,1,700,700,88.0,240,1084147200,1798502400,0,1,110,160,2,9,2,1,11,160000
7701,22113,12-132,1,695,695,88.0,243,1269907200,1968278400,0,1,110,160,2,9,2,7,11,160000
7702,16844,12-7023-02,1,703,703,90.0,236,1306281600,2014761600,2,1,160,160,2,9,2,7,12,160000
7703,17781,12-132,1,695,695,88.0,240,1300060800,1974412800,0,1,110,160,2,9,2,7,11,160000
7704,1031,11-1807-01,0,667,667,165.0,271,1424649600,2386195200,17,1,110,160,2,9,2,7,-1,160000
7705,1167,11-1807-01,0,667,667,165.0,271,1344902400,2348352000,17,1,110,160,2,9,2,7,16,160000
7706,17405,11-1807-01,0,667,667,165.0,273,1229817600,2263420800,17,1,110,160,2,9,2,7,13,160000
7707,32411,12-196-02,1,750,750,94.0,248,1565481600,2550441600,0,1,350,500,43,11,2,7,11,350000
7708,31731,12-196-02,1,750,750,94.0,249,1567900800,2531433600,0,1,350,500,43,11,2,7,11,350000
7709,21684,12-132,1,695,695,88.0,241,1337990400,2000764800,0,1,110,160,2,9,2,7,11,160000
7710,25166,12-132,1,695,695,88.0,243,1294704000,2032128000,0,1,110,160,2,9,2,7,11,160000
7711,14853,12-132,1,700,700,88.0,240,1135382400,1767830400,0,1,110,160,2,9,2,1,11,160000
7712,20379,12-132-03,1,695,695,88.0,240,1193443200,1983052800,0,1,110,160,22,2,2,7,11,160000
7713,20876,12-9788-01,1,710,710,85.0,225,1262131200,1935792000,6,1,110,160,2,2,3,7,11,160000
7714,20325,12-132-03,1,695,695,88.0,243,1235001600,1971302400,0,1,110,160,22,2,2,7,11,160000
7715,17140,12-132,1,695,695,88.0,242,1315785600,1988755200,0,1,110,160,2,9,2,7,11,160000
7716,18027,12-132,1,695,695,88.0,243,1276560000,2029968000,0,1,110,160,2,9,2,7,11,160000
7717,18031,12-132,1,695,695,88.0,241,1306281600,2010268800,0,1,110,160,2,9,2,7,11,160000
7718,18055,12-132,1,695,695,88.0,242,1318291200,2044656000,0,1,110,160,2,9,2,7,11,160000
7719,11848,12-132,1,700,700,88.0,240,1044748800,1735257600,0,1,110,160,2,9,3,1,11,160000
7720,8022,11-286,0,670,670,138.0,262,793929600,1819756800,1,1,110,160,2,9,3,1,2,160000
7721,13290,12-132-03,1,695,695,88.0,243,1241740800,2052777600,0,1,110,160,22,2,2,7,11,160000
7722,23922,12-132,1,695,695,88.0,243,1234137600,1972944000,0,1,110,160,2,9,2,7,11,160000
7723,28617,12-132,1,695,695,88.0,245,1094601600,1697328000,0,1,110,160,2,9,2,4,4,110000
7724,1178,11-1807-01,0,667,667,165.0,271,1370908800,2391897600,17,1,110,160,2,9,2,7,16,160000
7725,16588,11-1807-01,0,667,667,165.0,271,1240963200,2232576000,17,1,110,160,2,9,2,7,11,160000
7726,29769,12-132,1,695,695,88.0,240,1319155200,2055888000,13,1,110,160,22,9,2,7,11,160000
7727,985,11-1807-01,0,667,667,165.0,271,1324512000,2419027200,17,1,110,160,2,9,2,7,16,160000
7728,21849,12-132,1,695,695,88.0,242,1356739200,2000332800,0,1,110,160,2,9,2,7,11,160000
7729,8817,11-286,0,670,670,138.0,270,821923200,1839888000,1,1,110,160,2,9,2,1,1,160000
7730,13317,12-132-03,1,695,695,88.0,240,1235520000,1996531200,0,1,110,160,22,2,2,7,11,160000
7731,7192,11-286,0,670,670,138.0,270,740534400,1828396800,1,1,110,160,2,9,2,4,5,160000
7732,24053,12-296-01,1,700,700,83.0,236,1328400000,1979596800,1,1,110,160,2,9,3,6,12,160000
7733,32561,12-132,1,695,695,88.0,240,1413676800,2043878400,0,1,110,160,2,9,2,7,11,160000
7734,20441,12-132-03,1,695,695,88.0,240,1260489600,2011219200,0,1,110,160,22,2,2,7,11,160000
7735,29026,12-132,1,695,695,88.0,241,1106524800,1788652800,0,1,110,160,2,9,2,4,11,160000
7736,10166,12-132-03,1,695,695,88.0,237,1229040000,1954368000,0,1,110,160,22,2,3,7,11,160000
7737,24897,12-132,1,695,695,88.0,243,1353888000,2014243200,0,1,110,160,2,9,3,7,11,160000
7738,24891,12-132,1,695,695,88.0,241,1356739200,1982534400,0,1,110,160,2,9,2,7,11,160000
7739,12972,12-132-03,1,695,695,88.0,243,1235001600,2032041600,0,1,110,160,22,2,2,7,11,160000
7740,11095,12-7023-02,1,703,703,90.0,235,1353628800,1976572800,2,1,160,160,2,9,2,7,12,160000
7741,32023,12-132,1,695,695,88.0,240,1413331200,2058134400,0,1,110,160,2,9,2,7,11,160000
7742,27767,12-9766,1,695,695,88.0,244,1202860800,1930176000,5,1,110,160,22,9,3,1,11,160000
7743,19962,12-132,1,695,695,88.0,240,1205107200,1862697600,13,1,110,160,22,9,2,1,11,160000
7744,1685,11-2135-01,0,670,670,161.0,269,1560211200,2573596800,1,1,110,160,2,9,2,10,11,160000
7745,14380,12-132,1,700,700,88.0,240,1050019200,1730160000,0,1,110,160,2,9,2,1,11,160000
7746,23700,12-1704-04,1,700,700,88.0,238,1270857600,2022796800,17,1,110,160,2,9,2,7,16,160000
7747,16769,11-1807-01,0,667,667,165.0,271,1220832000,2220220800,9,1,110,160,2,9,2,4,8,160000
7748,18041,12-132,1,695,695,88.0,242,1299888000,2051481600,0,1,110,160,2,9,3,7,11,160000
7749,16516,11-7038,0,680,680,150.0,255,1382054400,2345760000,2,1,110,160,2,9,2,7,12,160000
7750,25757,12-132-03,1,695,695,88.0,242,1289606400,1996963200,0,1,110,160,22,2,2,7,11,160000
7751,20822,12-9788-01,1,710,710,85.0,221,1306108800,1959984000,6,1,110,160,2,2,2,7,11,160000
7752,9575,11-286,0,670,670,138.0,270,772761600,1781740800,1,1,110,160,2,9,2,6,2,160000
7753,21917,12-132,1,695,695,88.0,240,1368489600,2003616000,0,1,110,160,2,9,2,7,11,160000
7754,24510,12-132,1,695,695,88.0,242,1353542400,1994889600,0,1,110,160,2,9,3,7,11,160000
7755,28912,12-4102,1,710,710,82.0,225,1039564800,1737072000,8,1,110,160,2,9,2,4,2,160000
7756,15538,12-132,1,700,700,88.0,240,1150070400,1804896000,0,1,110,160,2,9,3,1,11,160000
7757,23703,12-1704-04,1,700,700,88.0,238,1314316800,1973894400,17,1,110,160,2,9,2,7,11,160000
7758,19369,11-286,0,670,670,138.0,270,752371200,1755129600,1,1,110,160,2,9,3,1,1,160000
7759,20432,12-132-03,1,695,695,88.0,243,1295568000,2001196800,0,1,110,160,22,2,2,7,11,160000
7760,10780,12-132,1,700,700,88.0,240,1038009600,1749600000,0,1,110,160,2,9,2,1,11,160000
7761,12525,12-132-03,1,695,695,88.0,243,1184198400,1986422400,0,1,110,160,22,2,2,7,19,160000
7762,13834,12-132,1,700,700,88.0,240,1100995200,1743638400,0,1,110,160,2,9,2,1,12,160000
7763,24907,12-1303-01,1,690,690,88.0,245,1347753600,1960329600,6,1,110,160,2,2,2,6,11,160000
7764,8670,11-286,0,670,670,138.0,270,778896000,1782950400,1,1,110,160,2,9,2,1,1,160000
7765,7796,11-286,0,670,670,138.0,270,833846400,1841097600,1,1,110,160,2,9,2,1,2,160000
7766,10323,12-132-03,1,695,695,88.0,242,1300406400,1940976000,0,1,110,160,22,2,3,7,11,160000
7767,17588,12-132,1,695,695,88.0,242,1288656000,1931040000,0,1,110,160,2,9,2,7,11,160000
7768,5989,11-276,0,680,680,122.0,260,758246400,1792800000,1,1,110,160,2,9,3,1,2,110000
7769,6092,11-276,0,680,680,122.0,260,767750400,1772409600,1,1,110,160,2,9,3,1,2,160000
7770,26286,12-132,1,700,700,88.0,240,1156118400,1788825600,0,1,110,160,2,9,3,1,4,160000
7771,26105,12-132-03,1,695,695,88.0,241,1239840000,1978819200,0,1,110,160,22,2,2,7,11,160000
7772,6137,11-276,0,680,680,122.0,260,746236800,1793232000,1,1,110,160,2,9,3,1,11,160000
7773,7146,11-1807,0,672,672,138.0,265,1212969600,2181686400,17,1,110,160,2,9,2,1,19,160000
7774,29677,12-132,1,695,695,88.0,243,1336003200,2027462400,0,1,110,160,2,9,3,7,11,160000
7775,11928,12-132-03,1,695,695,88.0,235,1233360000,2014416000,0,1,110,160,22,2,2,4,11,160000
7776,28881,12-295,1,700,700,75.2,236,1098576000,1749772800,1,1,110,160,2,9,2,4,12,160000
7777,18090,12-132,1,695,695,88.0,243,1273968000,1981411200,0,1,110,160,2,9,2,7,11,160000
7778,27616,12-132,1,695,695,88.0,240,1399680000,2079302400,0,1,110,160,2,9,2,7,11,160000
7779,12657,12-132-03,1,695,695,88.0,243,1247097600,1972166400,0,1,110,160,22,2,2,7,11,160000
7780,16194,11-1807-01,0,667,667,165.0,271,1273017600,2245622400,9,1,110,160,2,9,2,4,12,160000
7781,25005,12-132,1,695,695,88.0,243,1310083200,1949184000,0,1,110,160,2,9,2,7,11,160000
7782,26829,12-132,1,700,700,88.0,240,1055289600,1731110400,0,1,110,160,2,9,3,1,11,160000
7783,7100,11-1807,0,672,672,138.0,265,1236038400,2247696000,17,1,110,160,2,9,3,1,11,160000
7784,10711,12-132,1,700,700,88.0,240,1087776000,1777939200,0,1,110,160,2,9,3,1,12,160000
7785,25289,12-132-03,1,695,695,88.0,243,1223942400,1976227200,0,1,110,160,22,2,2,7,11,160000
7786,7933,11-286,0,670,670,138.0,270,804902400,1760832000,1,1,110,160,2,9,2,1,1,160000
7787,29702,12-132,1,695,695,88.0,242,1291334400,2010441600,0,1,110,160,2,9,3,7,11,160000
7788,26774,12-600-02,1,706,706,77.0,230,746496000,1686873600,11,1,160,160,2,9,2,8,11,160000
7789,10258,12-132-03,1,695,695,88.0,242,1206489600,2042323200,0,1,110,160,22,2,3,7,11,160000
